id,first_name,last_name,email,phone,country,category,amount,quantity,transaction_date,status,notes
1,Juan,martinez,juan@yahoo.com,+57 688 488 2440,CHILE,Food,,N/A,18/08/2019,ACTIVE,evblAbkHClEQaPKriXrefSFPLBYtCRGSEKclpem
2,CARLOS,garcia,not_an_email,(246) 104-2543,ARG,CLOTHING,"8932,6",51.258625315785785,12 Mar 2023,Inactive,blocked account
3,pedro,GarcÃ­a,null,571945826486,chile,Home,$8596.9,dos,20/04/2024,1,TRpdTXezdNNgyCnTwlCLkqZHwAgl
4,MarÃ­a,Lopez,,null,,SPORTS,70856,417,05-11-20,active,HIGH VALUE
5,sofia,Gonzalez,missing@,+57 478 328 2817,ARGENTINA,FOOD,"40355,0",-30,07-04-2020,inactive,first purchase
6,MARIA,martinez,@nodomain.com,null,mÃ©xico,clothing ,,N/A,17-09-24,,
7,MarÃ­a,martinez,missing@,577971399399,CL,FOOD,,dos,17-05-22,,VIP customer
8,Carlos,HERNANDEZ,carlos_hernandez@outlook.com,null,CHILE,Sports,0,72216,27 Nov 2021,PENDING,
9,SOFIA,Perez,not_an_email,null,Colombia,Home & Garden,26970.96,dos,16/09/2020,INACTIVE,low priority
10,LAURA,Martinez,not_an_email,+57 908 154 4414,Ch1le,BOOKS,2909078.44,NULL,2019/02/11,pending,first purchase
11,LUIS,GONZALEZ,null,579371430906,mÃ©xico,ElectrÃ³nics,NULL,dos,2019/09/04,inactive,zPelJpEyBwMrKongkgBNjlzLYBofkljaBoYCKgTzTDywjcWyQu
12,Carlos,martinez,@nodomain.com,+571610900200,Mexico,FOOD,4691.82 USD,dos,13-06-19,CANCELLED,pending verification
13,juan,MARTINEZ,,null,ARGENTINA,books,9506740.91,NULL,2022-08-17,  active,blocked account
14,Juan,PEREZ,missing@,N/A,MEXICO,home,,680,2020/06/01,CANCELLED,first purchase
15,Pedro,Lopez,N/A,1773338452,colombia,sport,NULL,NULL,2020-10-09,inactivo,
16,Ana,SANCHEZ,ana.sanchez@hotmail.com,7784217828,colombia,FOOD,5398.14 USD,NULL,19 Oct 2022,inactive,low priority
17,MARIA,MARTINEZ,,N/A,Col,HOME,NULL,dos,2019-03-29,CANCELLED,duplicate entry
18,sofia,perez,null,not provided,BRAZIL,FOOD,0,0,20 Oct 2022,inactivo,HIGH VALUE
19,MarÃ­a,RODRIGUEZ,missing@,3179320310,CHILE,B00ks,0,one,2019/04/18,Pending,VIP customer
20,diego,Rodriguez,diego.rodriguez@gmail.com,(389) 467-3596,Arg,HOME,7551.13 USD,NULL,06/07/2019,  active,pending verification
21,Carlos,Rodriguez,carlos_rodriguez@outlook.com,not provided,argentina,Sports,-648.25,N/A,27/08/2020,inactive,refund requested
22,maria,Sanchez,missing@,,Ch1le,food,668.39 USD,85.30505973845604,2022-09-27,INACTIVE,
23,Diego,hernandez,,not provided,Arg,BOOKS,65917,N/A,"February 25, 2020",0,first purchase
24,SOFIA,lÃ³pez,,null,Brasil,SPORTS,0.00,one,2023-01-17,0,blocked account
25,  pedro  ,PEREZ,not_an_email,N/A,MX,ElectrÃ³nics,NULL,NULL,"December 05, 2019",activo,first purchase
26,Andres,lÃ³pez,,578358867651,,HOME,87536,92.8051212155946,2023/01/20,PENDING,first purchase
27,sofia,LOPEZ,null,not provided,COLOMBIA,Electronics,4061.15,NULL,01/06/2024,  active,verify address
28,diego,GARCIA,@nodomain.com,+57 746 583 4732,MEXICO,sports,17644.76,N/A,07-10-2023,ACTIVE,HIGH VALUE
29,Laura,Martinez,not_an_email,null,MX,Home,error,,2019/05/10,inactive,duplicate entry
ID-30,LUIS,LOPEZ,N/A,572166605339,Brasil,Home & Garden,N/A,735,08-10-20,1,low priority
31,SOFIA,Rodriguez,sofia.rodriguez@outlook.com,not provided,Brasil,ElectrÃ³nics,0,N/A,"October 27, 2020",inactivo,
32,maria,GarcÃ­a,maria.garcÃ­a@gmail.com,null,Mex.,CLOTHING,N/A,27507,19-09-20,suspended,HIGH VALUE
33,PEDRO,PEREZ,pedro@gmail.com,2493660313,brazil,Books,error,,03-01-2024,INACTIVE,verify address
34,  Sofia  ,Lopez,N/A,123,Mex., clothing,41800,NULL,2019/09/07,Inactive,
35,  Laura  ,GONZALEZ,missing@,+57 490 410 0195,MEXICO,Home & Garden,$9144.35,59894,"December 25, 2024",suspended,verify address
36,pedro,GONZALEZ,pedro.gonzalez@,573250324141,CHILE,ELECTRONICS,N/A,90808,2024-06-21,active,blocked account
37,Juan,GarcÃ­a,N/A,,colombia,FOOD ,"34202,08",0,03-04-23,,low priority
